EXPNUM,NOBJECTS,PFW_ATTEMPT_ID,EXPTIME,NITE
636307,20563.00000000,2508880,300.00000000,20170401
636308,20863.00000000,2506881,300.00000000,20170401
636309,20858.00000000,2508881,300.00000000,20170401
636310,20963.00000000,2508882,300.00000000,20170401
636311,20058.00000000,2506882,300.00000000,20170401
636312,19357.00000000,2507876,300.00000000,20170401
636313,19957.00000000,2508883,300.00000000,20170401
636314,19603.00000000,2507877,300.00000000,20170401
637003,15968.00000000,2507878,300.00000000,20170403
637004,16032.00000000,2506883,300.00000000,20170403
637005,16074.00000000,2507879,300.00000000,20170403
637006,15855.00000000,2507880,300.00000000,20170403
637007,16938.00000000,2506884,300.00000000,20170403
637008,17106.00000000,2506885,300.00000000,20170403
637009,17532.00000000,2508884,300.00000000,20170403
637010,16839.00000000,2508885,300.00000000,20170403
637011,17697.00000000,2506886,300.00000000,20170403
637012,17171.00000000,2507881,300.00000000,20170403
637013,16196.00000000,2506887,300.00000000,20170403
637014,17409.00000000,2508886,300.00000000,20170403
637015,17478.00000000,2507882,300.00000000,20170403
637016,18209.00000000,2507883,300.00000000,20170403
637017,17739.00000000,2508887,300.00000000,20170403
637018,17511.00000000,2506888,300.00000000,20170403
637019,17378.00000000,2507884,300.00000000,20170403
637020,18458.00000000,2506889,300.00000000,20170403
637021,18167.00000000,2508888,300.00000000,20170403
637022,18135.00000000,2506890,300.00000000,20170403
637023,18785.00000000,2506891,300.00000000,20170403
637024,18185.00000000,2506892,300.00000000,20170403
637025,18403.00000000,2506893,300.00000000,20170403
637026,18304.00000000,2506894,300.00000000,20170403
637027,18088.00000000,2507885,300.00000000,20170403
637028,18710.00000000,2507886,300.00000000,20170403
637029,18155.00000000,2506895,300.00000000,20170403
637030,18097.00000000,2507887,300.00000000,20170403
637031,20624.00000000,2506896,300.00000000,20170403
637032,20555.00000000,2506897,300.00000000,20170403
637033,20129.00000000,2508889,300.00000000,20170403
637034,20068.00000000,2506898,300.00000000,20170403
637035,19345.00000000,2508890,300.00000000,20170403
